Summary,Issue Type,Priority,Labels,Description
Share release APK for technical testing,Task,High,"mvp,qa,apk-testing","Release APK built and shared for internal technical testing (not Play Store). Package: com.thinktap.app. Path: android/app/build/outputs/apk/release/app-release.apk. Signed with debug keystore for internal installs. Acceptance: APK installs on test devices; smoke test open app → record → stop → idea appears with audio."
Device matrix technical smoke test,Task,Highest,"mvp,qa,android","QA smoke on Android 11/12/15/16 (Vivo Moto OPPO OnePlus if available). Checklist: tap start/stop; audio plays on idea detail; 4–5 back-to-back thoughts all saved; Hey Think Tap start; spoken Stop recording after brief pause; 10s silence auto-pause; transcript visible; search finds transcript fragment."
Log APK version and build date,Task,Medium,"qa,apk-testing","Document APK build date version and share link in Jira/Confluence for the technical testing round."
Spoken start/stop reliability on Android OEMs,Task,Highest,"mvp,android,capture,wake-word","In progress: make spoken Start (Hey Think Tap / Start recording) and spoken Stop recording reliable across Android OEMs. Note: Android cannot share mic during file recording; stop requires brief quiet then say Stop recording. Assignee: Mobile Dev."
No-moment-lost continuous back-to-back save,Task,Highest,"mvp,android,capture","In progress: ensure continuous captures all save (no dropped thoughts when recording back-to-back). Serialized idea persist + unique audio files. Assignee: Mobile Dev. Verify with QA on shared APK."
Audio file persistence and Ideas playback,Task,Highest,"mvp,android,capture","Verify each thought stores a playable audio file under app storage and Ideas detail playback works after back-to-back captures. Assignee: Mobile Dev → QA."
Wake word Hey Think Tap stability,Task,High,"mvp,android,wake-word","Improve consistency of Hey Think Tap / Start recording across OEMs while app is usable. Assignee: Mobile Dev."
Cloud STT English and Indic transcript accuracy,Task,High,"mvp,stt","Improve Human Signal transcript accuracy (English first; Indic languages). Cloud STT after save; do not block local audio save. Assignee: Mobile Dev + Backend."
Tap to start recording,Story,High,"mvp,capture","MVP: user taps mic to start recording. Mic permission requested if needed."
Tap to stop and save thought locally,Story,Highest,"mvp,capture","MVP: tap mic again to stop. Audio and thought saved locally even if network/AI is down."
Persist audio file with each thought,Story,Highest,"mvp,capture","MVP: every saved thought has a durable audio URI that survives the next recording."
Human Signal raw transcript never replaced by AI,Story,Highest,"mvp","MVP: transcript field is source of truth and search index. Titles/summaries must not overwrite Human Signal."
Background enrichment after save,Story,Medium,"mvp,stt","After local save queue cloud/device enrichment for transcript/title without blocking capture UI."
Search over raw transcript only,Story,High,"mvp","Search retrieves from Human Signal (raw transcript) only per MVP spec."
Ideas list and idea detail,Story,High,"mvp,ux","Ideas archive + detail with audio player and full raw transcript."
Pause and resume recording,Story,Medium,"mvp,capture","User can pause/resume an open take."
